VOICE_CALL,-64, -60,-56,-53,-50,-47,-44,-41,-39,-37,-35,-33,-31,-29,-27,-25,-23,-21,-19,-17,-15,-13,-11,-9,-7,-5
SYSTEM,-64, -60,-56,-53,-50,-47,-44,-41,-39,-37,-35,-33,-31,-29,-27,-25,-23,-21,-19,-17,-15,-13,-11,-9,-7,-5
RING,-64,-60,-56,-53,-50,-47,-44,-41,-39,-37,-35,-33,-31,-29,-27,-25,-23,-21,-19,-17,-15,-13,-11,-9,-7,-5
MUSIC,-64,-60,-56,-53,-50,-47,-44,-41,-39,-37,-35,-33,-31,-29,-27,-25,-23,-21,-19,-17,-15,-13,-11,-9,-7,-5
ALARM,-64,-60,-56,-53,-50,-47,-44,-41,-39,-37,-35,-33,-31,-29,-27,-25,-23,-21,-19,-17,-15,-13,-11,-9,-7,-5
NOTIFICATION,-64,-60,-56,-53,-50,-47,-44,-41,-39,-37,-35,-33,-31,-29,-27,-25,-23,-21,-19,-17,-15,-13,-11,-9,-7,-5
BLUETOOTH_SCO,-64,-60,-56,-53,-50,-47,-44,-41,-39,-37,-35,-33,-31,-29,-27,-25,-23,-21,-19,-17,-15,-13,-11,-9,-7,-5
ENFORCED_AUDIBLE,-64,-60,-56,-53,-50,-47,-44,-41,-39,-37,-35,-33,-31,-29,-27,-25,-23,-21,-19,-17,-15,-13,-11,-9,-7,-5
DTMF,-64,-60,-56,-53,-50,-47,-44,-41,-39,-37,-35,-33,-31,-29,-27,-25,-23,-21,-19,-17,-15,-13,-11,-9,-7,-5
TTS,-64,-60,-56,-53,-50,-47,-44,-41,-39,-37,-35,-33,-31,-29,-27,-25,-23,-21,-19,-17,-15,-13,-11,-9,-7,-5
